policy,tiou,score
"('baseline', 0, 0, 0)",0.6342621689434744,0.7764547372635205
"('original', 0, 0, 0)",0.6064775604009451,0.759783972138003
"('gate', 0, 2, 0.5)",0.6373596630802189,0.7783132337455672
"('gate', 0, 2, 1.0)",0.6419824983175597,0.7810869348879718
"('gate', 0, 6, 0.5)",0.636487533323196,0.7777899558913535
"('gate', 0, 6, 1.0)",0.6378432269777428,0.7786033720840816
"('gate', 0, 10, 0.5)",0.6342621689434744,0.7764547372635205
"('gate', 0, 10, 1.0)",0.6342621689434744,0.7764547372635205
"('gate', 0.25, 2, 0.5)",0.6346502191430232,0.7766875673832498
"('gate', 0.25, 2, 1.0)",0.636743470202344,0.7779435180188423
"('gate', 0.25, 6, 0.5)",0.636487533323196,0.7777899558913535
"('gate', 0.25, 6, 1.0)",0.6378432269777428,0.7786033720840816
"('gate', 0.25, 10, 0.5)",0.6342621689434744,0.7764547372635205
"('gate', 0.25, 10, 1.0)",0.6342621689434744,0.7764547372635205
"('gate', 0.5, 2, 0.5)",0.6380915772030371,0.7787523822192581
"('gate', 0.5, 2, 1.0)",0.6401137363556666,0.7799656777108359
"('gate', 0.5, 6, 0.5)",0.6339308799965687,0.7762559638953772
"('gate', 0.5, 6, 1.0)",0.6338464333769185,0.776205295923587
"('gate', 0.5, 10, 0.5)",0.6342621689434744,0.7764547372635205
"('gate', 0.5, 10, 1.0)",0.6342621689434744,0.7764547372635205
"('pool', 0, 2, 1.0)",0.6496709609477115,0.7857000124660628
"('inside', 0, 2, 1.0)",0.6347605108034454,0.7767537423795032
"('start_only', 0, 2, 1.0)",0.6437638701887272,0.7821557580106722
"('end_only', 0, 2, 1.0)",0.6400318562014815,0.7799165496183248
